currency,date,date_announcement_own,n_days_own,fx_return,direction_own,is_scheduled_own,date_announcement_fomc,n_days_fomc,direction_fomc,is_scheduled_fomc
cad,2001-01-17 16:00:00-05:00,2001-01-23 10:00:00-05:00,-4,-0.5687,cut,True,2001-01-31 14:00:00-05:00,-10,cut,True
eur,2001-01-17 16:00:00-05:00,2001-01-18 07:45:00-05:00,-1,-0.7254,no_change,True,2001-01-31 14:00:00-05:00,-10,cut,True
nzd,2001-01-17 16:00:00-05:00,2001-01-23 20:00:00-05:00,-4,-0.2247,no_change,True,2001-01-31 14:00:00-05:00,-10,cut,True
cad,2001-01-18 16:00:00-05:00,2001-01-23 10:00:00-05:00,-3,-0.2572,cut,True,2001-01-31 14:00:00-05:00,-9,cut,True
eur,2001-01-18 16:00:00-05:00,2001-02-01 07:45:00-05:00,-10,1.5044,no_change,True,2001-01-31 14:00:00-05:00,-9,cut,True
nzd,2001-01-18 16:00:00-05:00,2001-01-23 20:00:00-05:00,-3,0.7207,no_change,True,2001-01-31 14:00:00-05:00,-9,cut,True
cad,2001-01-19 16:00:00-05:00,2001-01-23 10:00:00-05:00,-2,0.0462,cut,True,2001-01-31 14:00:00-05:00,-8,cut,True
eur,2001-01-19 16:00:00-05:00,2001-02-01 07:45:00-05:00,-9,-0.8787,no_change,True,2001-01-31 14:00:00-05:00,-8,cut,True
nzd,2001-01-19 16:00:00-05:00,2001-01-23 20:00:00-05:00,-2,0.2236,no_change,True,2001-01-31 14:00:00-05:00,-8,cut,True
sek,2001-01-19 16:00:00-05:00,2001-02-02 03:30:00-05:00,-10,-0.3487,no_change,True,2001-01-31 14:00:00-05:00,-8,cut,True
cad,2001-01-22 16:00:00-05:00,2001-01-23 10:00:00-05:00,-1,0.5507,cut,True,2001-01-31 14:00:00-05:00,-7,cut,True
eur,2001-01-22 16:00:00-05:00,2001-02-01 07:45:00-05:00,-8,0.1175,no_change,True,2001-01-31 14:00:00-05:00,-7,cut,True
nzd,2001-01-22 16:00:00-05:00,2001-01-23 20:00:00-05:00,-1,-0.3347,no_change,True,2001-01-31 14:00:00-05:00,-7,cut,True
sek,2001-01-22 16:00:00-05:00,2001-02-02 03:30:00-05:00,-9,-0.5779,no_change,True,2001-01-31 14:00:00-05:00,-7,cut,True
cad,2001-04-04 16:00:00-04:00,2001-04-17 10:00:00-04:00,-9,0.5925,cut,True,2001-04-18 14:00:00-04:00,-10,cut,False
gbp,2001-04-04 16:00:00-04:00,2001-04-05 07:00:00-04:00,-1,0.3146,cut,True,2001-04-18 14:00:00-04:00,-10,cut,False
eur,2001-04-04 16:00:00-04:00,2001-04-11 07:45:00-04:00,-5,0.9295,no_change,True,2001-04-18 14:00:00-04:00,-10,cut,False
nzd,2001-04-04 16:00:00-04:00,2001-04-18 22:00:00-04:00,-10,0.3722,cut,True,2001-04-18 14:00:00-04:00,-10,cut,False
cad,2001-04-05 16:00:00-04:00,2001-04-17 10:00:00-04:00,-8,-0.5764,cut,True,2001-04-18 14:00:00-04:00,-9,cut,False
eur,2001-04-05 16:00:00-04:00,2001-04-11 07:45:00-04:00,-4,-0.4105,no_change,True,2001-04-18 14:00:00-04:00,-9,cut,False
nzd,2001-04-05 16:00:00-04:00,2001-04-18 22:00:00-04:00,-9,-0.1731,cut,True,2001-04-18 14:00:00-04:00,-9,cut,False
cad,2001-04-06 16:00:00-04:00,2001-04-17 10:00:00-04:00,-7,1.1079,cut,True,2001-04-18 14:00:00-04:00,-8,cut,False
eur,2001-04-06 16:00:00-04:00,2001-04-11 07:45:00-04:00,-3,0.2897,no_change,True,2001-04-18 14:00:00-04:00,-8,cut,False
nzd,2001-04-06 16:00:00-04:00,2001-04-18 22:00:00-04:00,-8,0.1981,cut,True,2001-04-18 14:00:00-04:00,-8,cut,False
cad,2001-04-09 16:00:00-04:00,2001-04-17 10:00:00-04:00,-6,-0.1279,cut,True,2001-04-18 14:00:00-04:00,-7,cut,False
eur,2001-04-09 16:00:00-04:00,2001-04-11 07:45:00-04:00,-2,0.1333,no_change,True,2001-04-18 14:00:00-04:00,-7,cut,False
nzd,2001-04-09 16:00:00-04:00,2001-04-18 22:00:00-04:00,-7,-0.0741,cut,True,2001-04-18 14:00:00-04:00,-7,cut,False
cad,2001-04-10 16:00:00-04:00,2001-04-17 10:00:00-04:00,-5,0.5143,cut,True,2001-04-18 14:00:00-04:00,-6,cut,False
eur,2001-04-10 16:00:00-04:00,2001-04-11 07:45:00-04:00,-1,-1.4422,no_change,True,2001-04-18 14:00:00-04:00,-6,cut,False
nzd,2001-04-10 16:00:00-04:00,2001-04-18 22:00:00-04:00,-6,-0.3215,cut,True,2001-04-18 14:00:00-04:00,-6,cut,False
cad,2001-04-11 16:00:00-04:00,2001-04-17 10:00:00-04:00,-4,-0.4544,cut,True,2001-04-18 14:00:00-04:00,-5,cut,False
nzd,2001-04-11 16:00:00-04:00,2001-04-18 22:00:00-04:00,-5,0.1241,cut,True,2001-04-18 14:00:00-04:00,-5,cut,False
cad,2001-04-12 16:00:00-04:00,2001-04-17 10:00:00-04:00,-3,0.1667,cut,True,2001-04-18 14:00:00-04:00,-4,cut,False
eur,2001-04-12 16:00:00-04:00,2001-04-26 07:45:00-04:00,-10,0.7453,no_change,True,2001-04-18 14:00:00-04:00,-4,cut,False
nzd,2001-04-12 16:00:00-04:00,2001-04-18 22:00:00-04:00,-4,0.9418,cut,True,2001-04-18 14:00:00-04:00,-4,cut,False
cad,2001-04-13 16:00:00-04:00,2001-04-17 10:00:00-04:00,-2,-0.1728,cut,True,2001-04-18 14:00:00-04:00,-3,cut,False
eur,2001-04-13 16:00:00-04:00,2001-04-26 07:45:00-04:00,-9,-0.3811,no_change,True,2001-04-18 14:00:00-04:00,-3,cut,False
nzd,2001-04-13 16:00:00-04:00,2001-04-18 22:00:00-04:00,-3,0.1719,cut,True,2001-04-18 14:00:00-04:00,-3,cut,False
sek,2001-04-13 16:00:00-04:00,2001-04-27 03:30:00-04:00,-10,-0.4619,no_change,True,2001-04-18 14:00:00-04:00,-3,cut,False
cad,2001-04-16 16:00:00-04:00,2001-04-17 10:00:00-04:00,-1,0.0128,cut,True,2001-04-18 14:00:00-04:00,-2,cut,False
eur,2001-04-16 16:00:00-04:00,2001-04-26 07:45:00-04:00,-8,-0.2925,no_change,True,2001-04-18 14:00:00-04:00,-2,cut,False
nzd,2001-04-16 16:00:00-04:00,2001-04-18 22:00:00-04:00,-2,0.2451,cut,True,2001-04-18 14:00:00-04:00,-2,cut,False
sek,2001-04-16 16:00:00-04:00,2001-04-27 03:30:00-04:00,-9,-0.1766,no_change,True,2001-04-18 14:00:00-04:00,-2,cut,False
cad,2001-08-14 16:00:00-04:00,2001-08-28 10:00:00-04:00,-10,-0.1492,cut,True,2001-08-21 14:00:00-04:00,-5,cut,True
sek,2001-08-14 16:00:00-04:00,2001-08-24 03:30:00-04:00,-8,0.4301,no_change,True,2001-08-21 14:00:00-04:00,-5,cut,True
cad,2001-08-15 16:00:00-04:00,2001-08-28 10:00:00-04:00,-9,0.8044,cut,True,2001-08-21 14:00:00-04:00,-4,cut,True
sek,2001-08-15 16:00:00-04:00,2001-08-24 03:30:00-04:00,-7,0.7286,no_change,True,2001-08-21 14:00:00-04:00,-4,cut,True
cad,2001-08-16 16:00:00-04:00,2001-08-28 10:00:00-04:00,-8,-0.1567,cut,True,2001-08-21 14:00:00-04:00,-3,cut,True
eur,2001-08-16 16:00:00-04:00,2001-08-30 07:45:00-04:00,-10,0.2633,cut,True,2001-08-21 14:00:00-04:00,-3,cut,True
sek,2001-08-16 16:00:00-04:00,2001-08-24 03:30:00-04:00,-6,-0.118,no_change,True,2001-08-21 14:00:00-04:00,-3,cut,True
cad,2001-08-17 16:00:00-04:00,2001-08-28 10:00:00-04:00,-7,-0.7389,cut,True,2001-08-21 14:00:00-04:00,-2,cut,True
eur,2001-08-17 16:00:00-04:00,2001-08-30 07:45:00-04:00,-9,0.2955,cut,True,2001-08-21 14:00:00-04:00,-2,cut,True
sek,2001-08-17 16:00:00-04:00,2001-08-24 03:30:00-04:00,-5,-0.0442,no_change,True,2001-08-21 14:00:00-04:00,-2,cut,True
cad,2001-08-20 16:00:00-04:00,2001-08-28 10:00:00-04:00,-6,-0.2134,cut,True,2001-08-21 14:00:00-04:00,-1,cut,True
eur,2001-08-20 16:00:00-04:00,2001-08-30 07:45:00-04:00,-8,-0.4146,cut,True,2001-08-21 14:00:00-04:00,-1,cut,True
sek,2001-08-20 16:00:00-04:00,2001-08-24 03:30:00-04:00,-4,-1.9424,no_change,True,2001-08-21 14:00:00-04:00,-1,cut,True
cad,2001-09-03 16:00:00-04:00,2001-09-17 10:00:00-04:00,-10,,cut,False,2001-09-17 14:00:00-04:00,-10,cut,False
gbp,2001-09-03 16:00:00-04:00,2001-09-06 07:00:00-04:00,-3,,no_change,True,2001-09-17 14:00:00-04:00,-10,cut,False
eur,2001-09-03 16:00:00-04:00,2001-09-13 07:45:00-04:00,-8,,no_change,True,2001-09-17 14:00:00-04:00,-10,cut,False
aud,2001-09-03 16:00:00-04:00,2001-09-04 19:30:00-04:00,-1,,cut,True,2001-09-17 14:00:00-04:00,-10,cut,False
sek,2001-09-03 16:00:00-04:00,2001-09-17 03:30:00-04:00,-10,,cut,False,2001-09-17 14:00:00-04:00,-10,cut,False
chf,2001-09-03 16:00:00-04:00,2001-09-17 04:00:00-04:00,-10,,cut,True,2001-09-17 14:00:00-04:00,-10,cut,False
cad,2001-09-04 16:00:00-04:00,2001-09-17 10:00:00-04:00,-9,-0.3669,cut,False,2001-09-17 14:00:00-04:00,-9,cut,False
gbp,2001-09-04 16:00:00-04:00,2001-09-06 07:00:00-04:00,-2,-0.4549,no_change,True,2001-09-17 14:00:00-04:00,-9,cut,False
eur,2001-09-04 16:00:00-04:00,2001-09-13 07:45:00-04:00,-7,-2.4422,no_change,True,2001-09-17 14:00:00-04:00,-9,cut,False
nzd,2001-09-04 16:00:00-04:00,2001-09-18 22:00:00-04:00,-10,-1.3714,cut,False,2001-09-17 14:00:00-04:00,-9,cut,False
sek,2001-09-04 16:00:00-04:00,2001-09-17 03:30:00-04:00,-9,-2.6505,cut,False,2001-09-17 14:00:00-04:00,-9,cut,False
chf,2001-09-04 16:00:00-04:00,2001-09-17 04:00:00-04:00,-9,-2.2079,cut,True,2001-09-17 14:00:00-04:00,-9,cut,False
cad,2001-09-05 16:00:00-04:00,2001-09-17 10:00:00-04:00,-8,-0.4358,cut,False,2001-09-17 14:00:00-04:00,-8,cut,False
gbp,2001-09-05 16:00:00-04:00,2001-09-06 07:00:00-04:00,-1,0.7546,no_change,True,2001-09-17 14:00:00-04:00,-8,cut,False
eur,2001-09-05 16:00:00-04:00,2001-09-13 07:45:00-04:00,-6,0.327,no_change,True,2001-09-17 14:00:00-04:00,-8,cut,False
nok,2001-09-05 16:00:00-04:00,2001-09-19 08:00:00-04:00,-10,0.1176,no_change,True,2001-09-17 14:00:00-04:00,-8,cut,False
nzd,2001-09-05 16:00:00-04:00,2001-09-18 22:00:00-04:00,-9,0.139,cut,False,2001-09-17 14:00:00-04:00,-8,cut,False
sek,2001-09-05 16:00:00-04:00,2001-09-17 03:30:00-04:00,-8,0.7049,cut,False,2001-09-17 14:00:00-04:00,-8,cut,False
chf,2001-09-05 16:00:00-04:00,2001-09-17 04:00:00-04:00,-8,0.4648,cut,True,2001-09-17 14:00:00-04:00,-8,cut,False
cad,2001-09-06 16:00:00-04:00,2001-09-17 10:00:00-04:00,-7,0.0834,cut,False,2001-09-17 14:00:00-04:00,-7,cut,False
gbp,2001-09-06 16:00:00-04:00,2001-09-18 07:00:00-04:00,-8,0.055,cut,False,2001-09-17 14:00:00-04:00,-7,cut,False
eur,2001-09-06 16:00:00-04:00,2001-09-13 07:45:00-04:00,-5,0.517,no_change,True,2001-09-17 14:00:00-04:00,-7,cut,False
nok,2001-09-06 16:00:00-04:00,2001-09-19 08:00:00-04:00,-9,0.4557,no_change,True,2001-09-17 14:00:00-04:00,-7,cut,False
nzd,2001-09-06 16:00:00-04:00,2001-09-18 22:00:00-04:00,-8,0.7869,cut,False,2001-09-17 14:00:00-04:00,-7,cut,False
sek,2001-09-06 16:00:00-04:00,2001-09-17 03:30:00-04:00,-7,0.5196,cut,False,2001-09-17 14:00:00-04:00,-7,cut,False
chf,2001-09-06 16:00:00-04:00,2001-09-17 04:00:00-04:00,-7,0.5205,cut,True,2001-09-17 14:00:00-04:00,-7,cut,False
cad,2001-09-07 16:00:00-04:00,2001-09-17 10:00:00-04:00,-6,-0.574,cut,False,2001-09-17 14:00:00-04:00,-6,cut,False
gbp,2001-09-07 16:00:00-04:00,2001-09-18 07:00:00-04:00,-7,0.4464,cut,False,2001-09-17 14:00:00-04:00,-6,cut,False
eur,2001-09-07 16:00:00-04:00,2001-09-13 07:45:00-04:00,-4,1.1294,no_change,True,2001-09-17 14:00:00-04:00,-6,cut,False
nok,2001-09-07 16:00:00-04:00,2001-09-19 08:00:00-04:00,-8,0.5658,no_change,True,2001-09-17 14:00:00-04:00,-6,cut,False
nzd,2001-09-07 16:00:00-04:00,2001-09-18 22:00:00-04:00,-7,-0.1378,cut,False,2001-09-17 14:00:00-04:00,-6,cut,False
sek,2001-09-07 16:00:00-04:00,2001-09-17 03:30:00-04:00,-6,0.3984,cut,False,2001-09-17 14:00:00-04:00,-6,cut,False
chf,2001-09-07 16:00:00-04:00,2001-09-17 04:00:00-04:00,-6,0.8169,cut,True,2001-09-17 14:00:00-04:00,-6,cut,False
cad,2001-09-10 16:00:00-04:00,2001-09-17 10:00:00-04:00,-5,0.1533,cut,False,2001-09-17 14:00:00-04:00,-5,cut,False
gbp,2001-09-10 16:00:00-04:00,2001-09-18 07:00:00-04:00,-6,-0.2803,cut,False,2001-09-17 14:00:00-04:00,-5,cut,False
eur,2001-09-10 16:00:00-04:00,2001-09-13 07:45:00-04:00,-3,-0.6192,no_change,True,2001-09-17 14:00:00-04:00,-5,cut,False
nok,2001-09-10 16:00:00-04:00,2001-09-19 08:00:00-04:00,-7,-0.5682,no_change,True,2001-09-17 14:00:00-04:00,-5,cut,False
nzd,2001-09-10 16:00:00-04:00,2001-09-18 22:00:00-04:00,-6,-0.8508,cut,False,2001-09-17 14:00:00-04:00,-5,cut,False
sek,2001-09-10 16:00:00-04:00,2001-09-17 03:30:00-04:00,-5,-0.8184,cut,False,2001-09-17 14:00:00-04:00,-5,cut,False
chf,2001-09-10 16:00:00-04:00,2001-09-17 04:00:00-04:00,-5,-0.5868,cut,True,2001-09-17 14:00:00-04:00,-5,cut,False
cad,2001-09-11 16:00:00-04:00,2001-09-17 10:00:00-04:00,-4,,cut,False,2001-09-17 14:00:00-04:00,-4,cut,False
gbp,2001-09-11 16:00:00-04:00,2001-09-18 07:00:00-04:00,-5,,cut,False,2001-09-17 14:00:00-04:00,-4,cut,False
eur,2001-09-11 16:00:00-04:00,2001-09-13 07:45:00-04:00,-2,,no_change,True,2001-09-17 14:00:00-04:00,-4,cut,False
nok,2001-09-11 16:00:00-04:00,2001-09-19 08:00:00-04:00,-6,,no_change,True,2001-09-17 14:00:00-04:00,-4,cut,False
nzd,2001-09-11 16:00:00-04:00,2001-09-18 22:00:00-04:00,-5,,cut,False,2001-09-17 14:00:00-04:00,-4,cut,False
sek,2001-09-11 16:00:00-04:00,2001-09-17 03:30:00-04:00,-4,,cut,False,2001-09-17 14:00:00-04:00,-4,cut,False
chf,2001-09-11 16:00:00-04:00,2001-09-17 04:00:00-04:00,-4,,cut,True,2001-09-17 14:00:00-04:00,-4,cut,False
cad,2001-09-12 16:00:00-04:00,2001-09-17 10:00:00-04:00,-3,0.2947,cut,False,2001-09-17 14:00:00-04:00,-3,cut,False
gbp,2001-09-12 16:00:00-04:00,2001-09-18 07:00:00-04:00,-4,0.5554,cut,False,2001-09-17 14:00:00-04:00,-3,cut,False
eur,2001-09-12 16:00:00-04:00,2001-09-13 07:45:00-04:00,-1,0.9012,no_change,True,2001-09-17 14:00:00-04:00,-3,cut,False
nok,2001-09-12 16:00:00-04:00,2001-09-19 08:00:00-04:00,-5,1.0035,no_change,True,2001-09-17 14:00:00-04:00,-3,cut,False
