date_meeting,rate,scheduled,rate_change,date_effective
2000-12-05,5.75,TRUE,0,2000-12-05
2001-01-23,5.5,TRUE,-0.25,2001-01-23
2001-03-06,5,TRUE,-0.5,2001-03-06
2001-04-17,4.75,TRUE,-0.25,2001-04-17
2001-05-29,4.5,TRUE,-0.25,2001-05-29
2001-07-17,4.25,TRUE,-0.25,2001-07-17
2001-08-28,4,TRUE,-0.25,2001-08-28
2001-09-17,3.5,FALSE,-0.5,2001-09-17
2001-10-23,2.75,TRUE,-0.75,2001-10-23
2001-11-27,2.25,TRUE,-0.5,2001-11-27
2002-01-15,2,TRUE,-0.25,2002-01-15
2002-03-05,2,TRUE,0,2002-03-05
2002-04-16,2.25,TRUE,0.25,2002-04-16
2002-06-04,2.5,TRUE,0.25,2002-06-04
2002-07-16,2.75,TRUE,0.25,2002-07-16
2002-09-04,2.75,TRUE,0,2002-09-04
2002-10-16,2.75,TRUE,0,2002-10-16
2002-12-03,2.75,TRUE,0,2002-12-03
2003-01-21,2.75,TRUE,0,2003-01-21
2003-03-04,3,TRUE,0.25,2003-03-04
2003-04-15,3.25,TRUE,0.25,2003-04-15
2003-06-03,3.25,TRUE,0,2003-06-03
2003-07-15,3,TRUE,-0.25,2003-07-15
2003-09-03,2.75,TRUE,-0.25,2003-09-03
2003-10-15,2.75,TRUE,0,2003-10-15
2003-12-02,2.75,TRUE,0,2003-12-02
2004-01-20,2.5,TRUE,-0.25,2004-01-20
2004-03-02,2.25,TRUE,-0.25,2004-03-02
2004-04-13,2,TRUE,-0.25,2004-04-13
2004-06-08,2,TRUE,0,2004-06-08
2004-07-20,2,TRUE,0,2004-07-20
2004-09-08,2.25,TRUE,0.25,2004-09-08
2004-10-19,2.5,TRUE,0.25,2004-10-19
2004-12-07,2.5,TRUE,0,2004-12-07
2005-01-25,2.5,TRUE,0,2005-01-25
2005-03-01,2.5,TRUE,0,2005-03-01
2005-04-12,2.5,TRUE,0,2005-04-12
2005-05-25,2.5,TRUE,0,2005-05-25
2005-07-12,2.5,TRUE,0,2005-07-12
2005-09-07,2.75,TRUE,0.25,2005-09-07
2005-10-18,3,TRUE,0.25,2005-10-18
2005-12-06,3.25,TRUE,0.25,2005-12-06
2006-01-24,3.5,TRUE,0.25,2006-01-24
2006-03-07,3.75,TRUE,0.25,2006-03-07
2006-04-25,4,TRUE,0.25,2006-04-25
2006-05-24,4.25,TRUE,0.25,2006-05-24
2006-07-11,4.25,TRUE,0,2006-07-11
2006-09-06,4.25,TRUE,0,2006-09-06
2006-10-17,4.25,TRUE,0,2006-10-17
2006-12-05,4.25,TRUE,0,2006-12-05
2007-01-16,4.25,TRUE,0,2007-01-16
2007-03-06,4.25,TRUE,0,2007-03-06
2007-04-24,4.25,TRUE,0,2007-04-24
2007-05-29,4.25,TRUE,0,2007-05-29
2007-07-10,4.5,TRUE,0.25,2007-07-10
2007-09-05,4.5,TRUE,0,2007-09-05
2007-10-16,4.5,TRUE,0,2007-10-16
2007-12-04,4.25,TRUE,-0.25,2007-12-04
2008-01-22,4,TRUE,-0.25,2008-01-22
2008-03-04,3.5,TRUE,-0.5,2008-03-04
2008-04-22,3,TRUE,-0.5,2008-04-22
2008-06-10,3,TRUE,0,2008-06-10
2008-07-15,3,TRUE,0,2008-07-15
2008-09-03,3,TRUE,0,2008-09-03
2008-10-08,2.5,FALSE,-0.5,2008-10-08
2008-10-21,2.25,TRUE,-0.25,2008-10-21
2008-12-09,1.5,TRUE,-0.75,2008-12-09
2009-01-20,1,TRUE,-0.5,2009-01-20
2009-03-03,0.5,TRUE,-0.5,2009-03-03
2009-04-21,0.25,TRUE,-0.25,2009-04-21
2009-06-04,0.25,TRUE,0,2009-06-04
2009-07-21,0.25,TRUE,0,2009-07-21
2009-09-10,0.25,TRUE,0,2009-09-10
2009-10-20,0.25,TRUE,0,2009-10-20
2009-12-08,0.25,TRUE,0,2009-12-08
2010-01-19,0.25,TRUE,0,2010-01-19
2010-03-02,0.25,TRUE,0,2010-03-02
2010-04-20,0.25,TRUE,0,2010-04-20
2010-06-01,0.5,TRUE,0.25,2010-06-01
2010-07-20,0.75,TRUE,0.25,2010-07-20
2010-09-08,1,TRUE,0.25,2010-09-08
2010-10-19,1,TRUE,0,2010-10-19
2010-12-07,1,TRUE,0,2010-12-07
2011-01-18,1,TRUE,0,2011-01-18
2011-03-01,1,TRUE,0,2011-03-01
2011-04-12,1,TRUE,0,2011-04-12
2011-05-31,1,TRUE,0,2011-05-31
2011-07-19,1,TRUE,0,2011-07-19
2011-09-07,1,TRUE,0,2011-09-07
2011-10-25,1,TRUE,0,2011-10-25
2011-12-06,1,TRUE,0,2011-12-06
2012-01-17,1,TRUE,0,2012-01-17
2012-03-08,1,TRUE,0,2012-03-08
2012-04-17,1,TRUE,0,2012-04-17
2012-06-05,1,TRUE,0,2012-06-05
2012-07-17,1,TRUE,0,2012-07-17
2012-09-05,1,TRUE,0,2012-09-05
2012-10-23,1,TRUE,0,2012-10-23
2012-12-04,1,TRUE,0,2012-12-04
2013-01-23,1,TRUE,0,2013-01-23
2013-03-06,1,TRUE,0,2013-03-06
2013-04-17,1,TRUE,0,2013-04-17
2013-05-29,1,TRUE,0,2013-05-29
2013-07-17,1,TRUE,0,2013-07-17
2013-09-04,1,TRUE,0,2013-09-04
2013-10-23,1,TRUE,0,2013-10-23
2013-12-04,1,TRUE,0,2013-12-04
2014-01-22,1,TRUE,0,2014-01-22
2014-03-05,1,TRUE,0,2014-03-05
2014-04-16,1,TRUE,0,2014-04-16
2014-06-04,1,TRUE,0,2014-06-04
2014-07-16,1,TRUE,0,2014-07-16
2014-09-03,1,TRUE,0,2014-09-03
2014-10-22,1,TRUE,0,2014-10-22
2014-12-03,1,TRUE,0,2014-12-03
