date_meeting,date_announcement,is_scheduled,rate,rate_change,date_effective,comments
1997-06-05,1997-06-06,,6.5,0.25,,
1997-07-09,1997-07-10,,6.75,0.25,,
1997-08-06,1997-08-07,,7,0.25,,
1997-09-10,1997-09-11,,7,0,,
1997-10-08,1997-10-09,,7,0,,
1997-11-05,1997-11-06,,7.25,0.25,,
1997-12-03,1997-12-04,,7.25,0,,
1998-01-07,1998-01-08,,7.25,0,,
1998-02-04,1998-02-05,,7.25,0,,
1998-03-04,1998-03-05,,7.25,0,,
1998-04-08,1998-04-09,,7.25,0,,
1998-05-06,1998-05-07,,7.25,0,,
1998-06-03,1998-06-04,True,7.5,0.25,1998-06-04,
1998-07-08,1998-07-09,True,7.5,0,1998-07-09,
1998-08-05,1998-08-06,True,7.5,0,1998-08-06,
1998-09-09,1998-09-10,True,7.5,0,1998-09-10,
1998-10-07,1998-10-08,True,7.25,-0.25,1998-10-08,
1998-11-04,1998-11-05,True,6.75,-0.5,1998-11-05,
1998-12-09,1998-12-10,True,6.25,-0.5,1998-12-10,
1999-01-06,1999-01-07,True,6,-0.25,1999-01-07,
1999-02-03,1999-02-04,True,5.5,-0.5,1999-02-04,
1999-03-02,1999-03-03,True,5.5,0,1999-03-03,
1999-04-07,1999-04-08,True,5.25,-0.25,1999-04-08,
1999-05-05,1999-05-06,True,5.25,0,1999-05-06,
1999-06-09,1999-06-10,True,5,-0.25,1999-06-10,
1999-07-07,1999-07-08,True,5,0,1999-07-08,
1999-08-04,1999-08-05,True,5,0,1999-08-05,
1999-09-07,1999-09-08,True,5.25,0.25,1999-09-08,
1999-10-06,1999-10-07,True,5.25,0,1999-10-07,
1999-11-03,1999-11-04,True,5.5,0.25,1999-11-04,
1999-12-08,1999-12-09,True,5.5,0,1999-12-09,
2000-01-12,2000-01-13,True,5.75,0.25,2000-01-13,
2000-02-09,2000-02-10,True,6,0.25,2000-02-10,
2000-03-08,2000-03-09,True,6,0,2000-03-09,
2000-04-05,2000-04-06,True,6,0,2000-04-06,
2000-05-03,2000-05-04,True,6,0,2000-05-04,
2000-06-06,2000-06-07,True,6,0,2000-06-07,
2000-07-05,2000-07-06,True,6,0,2000-07-06,
2000-08-02,2000-08-03,True,6,0,2000-08-03,
2000-09-06,2000-09-07,True,6,0,2000-09-07,
2000-10-04,2000-10-05,True,6,0,2000-10-05,
2000-11-08,2000-11-09,True,6,0,2000-11-09,
2000-12-06,2000-12-07,True,6,0,2000-12-07,
2001-01-10,2001-01-11,True,6,0,2001-01-11,
2001-02-07,2001-02-08,True,5.75,-0.25,2001-02-08,
2001-03-07,2001-03-08,True,5.75,0,2001-03-08,
2001-04-04,2001-04-05,True,5.5,-0.25,2001-04-05,
2001-05-09,2001-05-10,True,5.25,-0.25,2001-05-10,
2001-06-05,2001-06-06,True,5.25,0,2001-06-06,
2001-07-04,2001-07-05,True,5.25,0,2001-07-05,
2001-08-01,2001-08-02,True,5,-0.25,2001-08-02,
2001-09-05,2001-09-06,True,5,0,2001-09-06,
2001-09-17,2001-09-18,False,4.75,-0.25,2001-09-18,terrorist attacks
2001-10-03,2001-10-04,True,4.5,-0.25,2001-10-04,
2001-11-07,2001-11-08,True,4,-0.5,2001-11-08,
2001-12-04,2001-12-05,True,4,0,2001-12-05,
2002-01-09,2002-01-10,True,4,0,2002-01-10,
2002-02-06,2002-02-07,True,4,0,2002-02-07,
2002-03-06,2002-03-07,True,4,0,2002-03-07,
2002-04-03,2002-04-04,True,4,0,2002-04-04,
2002-05-08,2002-05-09,True,4,0,2002-05-09,
2002-06-05,2002-06-06,True,4,0,2002-06-06,
2002-07-03,2002-07-04,True,4,0,2002-07-04,
2002-07-31,2002-08-01,True,4,0,2002-08-01,
2002-09-04,2002-09-05,True,4,0,2002-09-05,
2002-10-09,2002-10-10,True,4,0,2002-10-10,
2002-11-06,2002-11-07,True,4,0,2002-11-07,
2002-12-04,2002-12-05,True,4,0,2002-12-05,
