rate_deposit,rate_refinancing_fixed,rate_refinancing_variable,rate_lending,date_effective,is_scheduled,rate,rate_change,date_announcement
2.0,3.0,,4.5,1999-01-22,True,3.25,,1999-01-21 13:45:00+01:00
2.0,3.0,,4.5,,True,3.25,0.0,1999-02-18 13:45:00+01:00
2.0,3.0,,4.5,,True,3.25,0.0,1999-03-04 13:45:00+01:00
2.0,3.0,,4.5,,True,3.25,0.0,1999-03-18 13:45:00+01:00
1.5,2.5,,3.5,1999-04-09,True,2.5,-0.75,1999-04-08 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-04-22 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-05-06 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-05-20 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-06-02 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-06-17 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-07-01 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-07-15 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-07-29 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-08-26 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-09-09 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-09-23 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-10-07 13:45:00+02:00
1.5,2.5,,3.5,,True,2.5,0.0,1999-10-21 13:45:00+02:00
2.0,3.0,,4.0,1999-11-05,True,3.0,0.5,1999-11-04 13:45:00+01:00
2.0,3.0,,4.0,,True,3.0,0.0,1999-11-18 13:45:00+01:00
2.0,3.0,,4.0,,True,3.0,0.0,1999-12-02 13:45:00+01:00
2.0,3.0,,4.0,,True,3.0,0.0,1999-12-15 13:45:00+01:00
2.0,3.0,,4.0,,True,3.0,0.0,2000-01-05 13:45:00+01:00
2.0,3.0,,4.0,,True,3.0,0.0,2000-01-20 13:45:00+01:00
2.25,3.25,,4.25,2000-02-04,True,3.25,0.25,2000-02-03 13:45:00+01:00
2.25,3.25,,4.25,,True,3.25,0.0,2000-02-17 13:45:00+01:00
2.25,3.25,,4.25,,True,3.25,0.0,2000-03-02 13:45:00+01:00
2.5,3.5,,4.5,2000-03-17,True,3.5,0.25,2000-03-16 13:45:00+01:00
2.5,3.5,,4.5,,True,3.5,0.0,2000-03-30 13:45:00+02:00
2.5,3.5,,4.5,,True,3.5,0.0,2000-04-13 13:45:00+02:00
2.75,3.75,,4.75,2000-04-28,True,3.75,0.25,2000-04-27 13:45:00+02:00
2.75,3.75,,4.75,,True,3.75,0.0,2000-05-11 13:45:00+02:00
2.75,3.75,,4.75,,True,3.75,0.0,2000-05-25 13:45:00+02:00
3.25,4.25,,5.25,2000-06-09,True,4.25,0.5,2000-06-08 13:45:00+02:00
3.25,,4.25,5.25,2000-06-28,True,4.25,0.0,2000-06-21 13:45:00+02:00
3.25,,4.25,5.25,,True,4.25,0.0,2000-07-06 13:45:00+02:00
3.25,,4.25,5.25,,True,4.25,0.0,2000-07-20 13:45:00+02:00
3.25,,4.25,5.25,,True,4.25,0.0,2000-08-03 13:45:00+02:00
3.5,,4.5,5.5,2000-09-01,True,4.5,0.25,2000-08-31 13:45:00+02:00
3.5,,4.5,5.5,,True,4.5,0.0,2000-09-14 13:45:00+02:00
3.75,,4.75,5.75,2000-10-06,True,4.75,0.25,2000-10-05 13:45:00+02:00
3.75,,4.75,5.75,,True,4.75,0.0,2000-10-19 13:45:00+02:00
3.75,,4.75,5.75,,True,4.75,0.0,2000-11-02 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2000-11-16 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2000-11-30 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2000-12-14 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-01-04 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-01-18 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-02-01 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-02-15 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-03-01 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-03-15 13:45:00+01:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-03-29 13:45:00+02:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-04-11 13:45:00+02:00
3.75,,4.75,5.75,,True,4.75,0.0,2001-04-26 13:45:00+02:00
3.5,,4.5,5.5,2001-05-11,True,4.5,-0.25,2001-05-10 13:45:00+02:00
3.5,,4.5,5.5,,True,4.5,0.0,2001-05-23 13:45:00+02:00
3.5,,4.5,5.5,,True,4.5,0.0,2001-06-07 13:45:00+02:00
3.5,,4.5,5.5,,True,4.5,0.0,2001-06-21 13:45:00+02:00
3.5,,4.5,5.5,,True,4.5,0.0,2001-07-05 13:45:00+02:00
3.5,,4.5,5.5,,True,4.5,0.0,2001-07-19 13:45:00+02:00
3.5,,4.5,5.5,,True,4.5,0.0,2001-08-02 13:45:00+02:00
3.25,,4.25,5.25,2001-08-31,True,4.25,-0.25,2001-08-30 13:45:00+02:00
3.25,,4.25,5.25,,True,4.25,0.0,2001-09-13 13:45:00+02:00
2.75,,3.75,4.75,2001-09-18,True,3.75,-0.5,2001-09-17 13:45:00+02:00
2.75,,3.75,4.75,,True,3.75,0.0,2001-09-27 13:45:00+02:00
2.75,,3.75,4.75,,True,3.75,0.0,2001-10-11 13:45:00+02:00
2.75,,3.75,4.75,,True,3.75,0.0,2001-10-25 13:45:00+02:00
