date_meeting,rate,is_scheduled,rate_change,date_effective,comments,is_non_standard,date_announcement
1994-02-04,3.25,1,0.25,1994-02-05,,0,1994-02-04 14:00:00-05:00
1994-03-22,3.5,1,0.25,1994-03-23,,0,1994-03-22 14:00:00-05:00
1994-04-18,3.75,0,0.25,1994-04-19,increase the degree of pressure on reserve positions… lol,0,1994-04-18 14:00:00-04:00
1994-05-17,4.25,1,0.5,1994-05-18,,0,1994-05-17 14:00:00-04:00
1994-07-06,4.25,1,0.0,1994-07-07,,0,1994-07-06 14:00:00-04:00
1994-08-16,4.75,1,0.5,1994-08-17,,0,1994-08-16 14:00:00-04:00
1994-09-27,4.75,1,0.0,1994-09-28,,0,1994-09-27 14:00:00-04:00
1994-11-15,5.5,1,0.75,1994-11-16,,0,1994-11-15 14:00:00-05:00
1994-12-20,5.5,1,0.0,1994-12-21,,0,1994-12-20 14:00:00-05:00
1995-02-01,6.0,1,0.5,1995-02-02,,0,1995-02-01 14:00:00-05:00
1995-03-28,6.0,1,0.0,1995-03-29,,0,1995-03-28 14:00:00-05:00
1995-05-23,6.0,1,0.0,1995-05-24,,0,1995-05-23 14:00:00-04:00
1995-07-06,5.75,1,-0.25,1995-07-07,,0,1995-07-06 14:00:00-04:00
1995-08-22,5.75,1,0.0,1995-08-23,,0,1995-08-22 14:00:00-04:00
1995-09-26,5.75,1,0.0,1995-09-27,,0,1995-09-26 14:00:00-04:00
1995-11-15,5.75,1,0.0,1995-11-16,,0,1995-11-15 14:00:00-05:00
1995-12-19,5.5,1,-0.25,1995-12-20,,0,1995-12-19 14:00:00-05:00
1996-01-31,5.25,1,-0.25,1996-02-01,,0,1996-01-31 14:00:00-05:00
1996-03-26,5.25,1,0.0,1996-03-27,,0,1996-03-26 14:00:00-05:00
1996-05-21,5.25,1,0.0,1996-05-22,,0,1996-05-21 14:00:00-04:00
1996-07-03,5.25,1,0.0,1996-07-04,,0,1996-07-03 14:00:00-04:00
1996-08-20,5.25,1,0.0,1996-08-21,,0,1996-08-20 14:00:00-04:00
1996-09-24,5.25,1,0.0,1996-09-25,,0,1996-09-24 14:00:00-04:00
1996-11-13,5.25,1,0.0,1996-11-14,,0,1996-11-13 14:00:00-05:00
1996-12-17,5.25,1,0.0,1996-12-18,,0,1996-12-17 14:00:00-05:00
1997-02-05,5.25,1,0.0,1997-02-06,,0,1997-02-05 14:00:00-05:00
1997-03-25,5.5,1,0.25,1997-03-26,,0,1997-03-25 14:00:00-05:00
1997-05-20,5.5,1,0.0,1997-05-21,,0,1997-05-20 14:00:00-04:00
1997-07-02,5.5,1,0.0,1997-07-03,,0,1997-07-02 14:00:00-04:00
1997-08-19,5.5,1,0.0,1997-08-20,,0,1997-08-19 14:00:00-04:00
1997-09-30,5.5,1,0.0,1997-10-01,,0,1997-09-30 14:00:00-04:00
1997-11-12,5.5,1,0.0,1997-11-13,,0,1997-11-12 14:00:00-05:00
1997-12-16,5.5,1,0.0,1997-12-17,,0,1997-12-16 14:00:00-05:00
1998-02-04,5.5,1,0.0,1998-02-05,,0,1998-02-04 14:00:00-05:00
1998-03-31,5.5,1,0.0,1998-04-01,,0,1998-03-31 14:00:00-05:00
1998-05-19,5.5,1,0.0,1998-05-20,,0,1998-05-19 14:00:00-04:00
1998-07-01,5.5,1,0.0,1998-07-02,,0,1998-07-01 14:00:00-04:00
1998-08-18,5.5,1,0.0,1998-08-19,,0,1998-08-18 14:00:00-04:00
1998-09-29,5.25,1,-0.25,1998-09-30,,0,1998-09-29 14:00:00-04:00
1998-10-15,5.0,0,-0.25,1998-10-16,"ltcm, asia, russia",0,1998-10-15 14:00:00-04:00
1998-11-17,4.75,1,-0.25,1998-11-18,,0,1998-11-17 14:00:00-05:00
1998-12-22,4.75,1,0.0,1998-12-23,,0,1998-12-22 14:00:00-05:00
1999-02-03,4.75,1,0.0,1999-02-04,,0,1999-02-03 14:00:00-05:00
