date_announcement,date_meeting,is_scheduled,date_effective,rate,rate_change,overnight_lending_rate,reserve_rate
2000-01-19 14:00:00+01:00,2000-01-19,True,,5.5,,,
2000-02-16 14:00:00+01:00,2000-02-16,True,,5.5,0.0,,
2000-03-16 14:00:00+01:00,2000-03-16,True,,5.5,0.0,,
2000-04-12 14:00:00+02:00,2000-04-12,True,,5.75,0.25,,
2000-06-14 14:00:00+02:00,2000-06-14,True,,6.25,0.5,,
2000-08-09 14:00:00+02:00,2000-08-09,True,,6.75,0.5,,
2000-09-20 14:00:00+02:00,2000-09-20,True,,7.0,0.25,,
2000-11-01 14:00:00+01:00,2000-11-01,True,,7.0,0.0,,
2000-12-13 14:00:00+01:00,2000-12-13,True,,7.0,0.0,,
2001-01-10 14:00:00+01:00,2001-01-10,True,,7.0,0.0,9.0,
2001-02-21 14:00:00+01:00,2001-02-21,True,,7.0,0.0,9.0,
2001-04-04 14:00:00+02:00,2001-04-04,True,,7.0,0.0,9.0,
2001-05-16 14:00:00+02:00,2001-05-16,True,,7.0,0.0,9.0,
2001-06-20 14:00:00+02:00,2001-06-20,True,,7.0,0.0,9.0,
2001-08-08 14:00:00+02:00,2001-08-08,True,,7.0,0.0,9.0,
2001-09-19 14:00:00+02:00,2001-09-19,True,,7.0,0.0,9.0,
2001-10-31 14:00:00+01:00,2001-10-31,True,,7.0,0.0,9.0,
2001-12-12 14:00:00+01:00,2001-12-12,True,,6.5,-0.5,8.5,
2002-01-23 14:00:00+01:00,2002-01-23,True,,6.5,0.0,8.5,
2002-02-27 14:00:00+01:00,2002-02-27,True,,6.5,0.0,8.5,
2002-04-10 14:00:00+02:00,2002-04-10,True,,6.5,0.0,8.5,
2002-05-22 14:00:00+02:00,2002-05-22,True,,6.5,0.0,8.5,
2002-07-03 14:00:00+02:00,2002-07-03,True,,7.0,0.5,9.0,
2002-08-07 14:00:00+02:00,2002-08-07,True,,7.0,0.0,9.0,
2002-09-18 14:00:00+02:00,2002-09-18,True,,7.0,0.0,9.0,
2002-10-30 14:00:00+01:00,2002-10-30,True,,7.0,0.0,9.0,
2002-12-11 14:00:00+01:00,2002-12-11,True,,6.5,-0.5,8.5,
2003-01-22 14:00:00+01:00,2003-01-22,True,,6.0,-0.5,8.0,
2003-03-05 14:00:00+01:00,2003-03-05,True,,5.5,-0.5,7.5,
2003-04-30 14:00:00+02:00,2003-04-30,True,,5.0,-0.5,7.0,
2003-06-25 14:00:00+02:00,2003-06-25,True,,4.0,-1.0,6.0,
2003-08-13 14:00:00+02:00,2003-08-13,True,,3.0,-1.0,5.0,
2003-09-17 14:00:00+02:00,2003-09-17,True,,2.5,-0.5,4.5,
2003-10-29 14:00:00+01:00,2003-10-29,True,,2.5,0.0,4.5,
2003-12-17 14:00:00+01:00,2003-12-17,True,,2.25,-0.25,4.25,
2004-01-28 14:00:00+01:00,2004-01-28,True,,2.0,-0.25,4.0,
2004-03-11 14:00:00+01:00,2004-03-11,True,,1.75,-0.25,3.75,
2004-04-21 14:00:00+02:00,2004-04-21,True,,1.75,0.0,3.75,
2004-05-26 14:00:00+02:00,2004-05-26,True,,1.75,0.0,3.75,
2004-07-01 14:00:00+02:00,2004-07-01,True,,1.75,0.0,3.75,
2004-08-11 14:00:00+02:00,2004-08-11,True,,1.75,0.0,3.75,
2004-09-22 14:00:00+02:00,2004-09-22,True,,1.75,0.0,3.75,
2004-11-03 14:00:00+01:00,2004-11-03,True,,1.75,0.0,3.75,
2004-12-15 14:00:00+01:00,2004-12-15,True,,1.75,0.0,3.75,
2005-02-02 14:00:00+01:00,2005-02-02,True,,1.75,0.0,3.75,
2005-03-16 14:00:00+01:00,2005-03-16,True,,1.75,0.0,3.75,
2005-04-20 14:00:00+02:00,2005-04-20,True,,1.75,0.0,3.75,
2005-05-25 14:00:00+02:00,2005-05-25,True,,1.75,0.0,3.75,
2005-06-30 14:00:00+02:00,2005-06-30,True,,2.0,0.25,4.0,
2005-08-11 14:00:00+02:00,2005-08-11,True,,2.0,0.0,4.0,
2005-09-21 14:00:00+02:00,2005-09-21,True,,2.0,0.0,4.0,
2005-11-02 14:00:00+01:00,2005-11-02,True,,2.25,0.25,4.25,
2005-12-14 14:00:00+01:00,2005-12-14,True,,2.25,0.0,4.25,
2006-01-25 14:00:00+01:00,2006-01-25,True,,2.25,0.0,4.25,
2006-03-16 14:00:00+01:00,2006-03-16,True,,2.5,0.25,4.5,
2006-04-26 14:00:00+02:00,2006-04-26,True,,2.5,0.0,4.5,
2006-05-31 14:00:00+02:00,2006-05-31,True,,2.75,0.25,4.75,
2006-06-29 14:00:00+02:00,2006-06-29,True,,2.75,0.0,4.75,
2006-08-16 14:00:00+02:00,2006-08-16,True,,3.0,0.25,5.0,
2006-09-27 14:00:00+02:00,2006-09-27,True,,3.0,0.0,5.0,
2006-11-01 14:00:00+01:00,2006-11-01,True,,3.25,0.25,5.25,
2006-12-13 14:00:00+01:00,2006-12-13,True,,3.5,0.25,5.5,
2007-01-24 14:00:00+01:00,2007-01-24,True,,3.75,0.25,5.75,
2007-03-15 14:00:00+01:00,2007-03-15,True,,4.0,0.25,5.0,
2007-04-25 14:00:00+02:00,2007-04-25,True,,4.0,0.0,5.0,
2007-05-30 14:00:00+02:00,2007-05-30,True,,4.25,0.25,5.25,
2007-06-27 14:00:00+02:00,2007-06-27,True,,4.5,0.25,5.5,
2007-08-15 14:00:00+02:00,2007-08-15,True,,4.75,0.25,5.75,
2007-09-26 14:00:00+02:00,2007-09-26,True,,5.0,0.25,6.0,
2007-10-31 14:00:00+01:00,2007-10-31,True,,5.0,0.0,6.0,
2007-12-12 14:00:00+01:00,2007-12-12,True,,5.25,0.25,6.25,
2008-01-23 14:00:00+01:00,2008-01-23,True,,5.25,0.0,6.25,
2008-03-13 14:00:00+01:00,2008-03-13,True,,5.25,0.0,6.25,
2008-04-23 14:00:00+02:00,2008-04-23,True,,5.5,0.25,6.5,
2008-05-28 14:00:00+02:00,2008-05-28,True,,5.5,0.0,6.5,
2008-06-25 14:00:00+02:00,2008-06-25,True,,5.75,0.25,6.75,
2008-08-13 14:00:00+02:00,2008-08-13,True,,5.75,0.0,6.75,
2008-09-24 14:00:00+02:00,2008-09-24,True,,5.75,0.0,6.75,
