date_meeting,date_announcement,rate,is_scheduled,rate_change,date_effective,comments
,1990-01-23 09:30:00+11:00,17.25,False,,1990-01-23,
1990-02-06,1990-02-15 09:30:00+11:00,16.75,False,-0.5,1990-02-15,
1990-03-06,1990-03-06 09:30:00+10:00,16.75,True,0.0,1990-03-07,
1990-04-03,1990-04-04 09:30:00+10:00,15.25,True,-1.5,1990-04-04,
1990-05-01,1990-05-01 09:30:00+10:00,15.25,True,0.0,1990-05-02,
1990-06-05,1990-06-05 09:30:00+10:00,15.25,True,0.0,1990-06-06,
1990-07-03,1990-07-03 09:30:00+10:00,15.25,True,0.0,1990-07-04,
1990-08-07,1990-08-02 09:30:00+10:00,14.0,False,-1.25,1990-08-02,
1990-09-04,1990-09-04 09:30:00+10:00,14.0,True,0.0,1990-09-05,
1990-10-02,1990-10-15 09:30:00+10:00,13.0,False,-1.0,1990-10-15,
1990-11-06,1990-11-06 09:30:00+11:00,13.0,True,0.0,1990-11-07,
1990-12-04,1990-12-18 09:30:00+11:00,12.0,False,-1.0,1990-12-18,
1991-02-05,1991-02-05 09:30:00+11:00,12.0,True,0.0,1991-02-06,
1991-03-05,1991-03-05 09:30:00+10:00,12.0,True,0.0,1991-03-06,
1991-04-02,1991-04-04 09:30:00+10:00,11.5,False,-0.5,1991-04-04,
1991-05-07,1991-05-16 09:30:00+10:00,10.5,False,-1.0,1991-05-16,
1991-06-04,1991-06-13 09:30:00+10:00,10.5,False,0.0,1991-06-14,
1991-07-02,1991-07-02 09:30:00+10:00,10.5,True,0.0,1991-07-03,
1991-08-06,1991-07-30 09:30:00+10:00,10.5,True,0.0,1991-07-31,
1991-09-03,1991-09-03 09:30:00+10:00,9.5,True,-1.0,1991-09-03,
1991-10-01,1991-10-01 09:30:00+10:00,9.5,True,0.0,1991-10-02,
1991-11-05,1991-11-06 09:30:00+11:00,8.5,True,-1.0,1991-11-06,
1991-12-03,1991-12-03 09:30:00+11:00,8.5,True,0.0,1991-12-04,
,1992-01-08 09:30:00+11:00,7.5,True,-1.0,1992-01-08,
1992-02-04,1992-02-04 09:30:00+11:00,7.5,True,0.0,1992-02-05,
1992-03-03,1992-03-03 09:30:00+10:00,7.5,True,0.0,1992-03-04,
1992-04-07,1992-04-07 09:30:00+10:00,7.5,True,0.0,1992-04-08,
1992-05-05,1992-05-06 09:30:00+10:00,6.5,True,-1.0,1992-05-06,
1992-06-02,1992-06-02 09:30:00+10:00,6.5,True,0.0,1992-06-03,
1992-07-07,1992-07-08 09:30:00+10:00,5.75,True,-0.75,1992-07-08,
1992-08-04,1992-07-28 09:30:00+10:00,5.75,False,0.0,1992-07-29,
1992-09-01,1992-09-01 09:30:00+10:00,5.75,True,0.0,1992-09-02,
1992-10-06,1992-10-06 09:30:00+10:00,5.75,True,0.0,1992-10-07,
1992-11-03,1992-11-03 09:30:00+11:00,5.75,True,0.0,1992-11-04,
1992-12-01,1992-12-01 09:30:00+11:00,5.75,True,0.0,1992-12-02,
1993-02-02,1993-02-02 09:30:00+11:00,5.75,True,0.0,1993-02-03,
1993-03-02,1993-03-23 09:30:00+10:00,5.25,False,-0.5,1993-03-23,
1993-04-06,1993-04-06 09:30:00+10:00,5.25,True,0.0,1993-04-07,
1993-05-04,1993-05-04 09:30:00+10:00,5.25,True,0.0,1993-05-05,
1993-06-01,1993-06-01 09:30:00+10:00,5.25,True,0.0,1993-06-02,
1993-07-06,1993-07-06 09:30:00+10:00,5.25,True,0.0,1993-07-07,
1993-08-03,1993-07-30 09:30:00+10:00,4.75,False,-0.5,1993-07-30,
1993-09-07,1993-09-07 09:30:00+10:00,4.75,True,0.0,1993-09-08,
1993-10-05,1993-10-05 09:30:00+10:00,4.75,True,0.0,1993-10-06,
1993-11-02,1993-11-02 09:30:00+11:00,4.75,True,0.0,1993-11-03,
1993-12-07,1993-12-07 09:30:00+11:00,4.75,True,0.0,1993-12-08,
1994-02-01,1994-02-01 09:30:00+11:00,4.75,True,0.0,1994-02-02,
1994-03-01,1994-03-01 09:30:00+11:00,4.75,True,0.0,1994-03-02,
1994-04-05,1994-03-30 09:30:00+10:00,4.75,True,0.0,1994-03-30,
1994-05-03,1994-05-03 09:30:00+10:00,4.75,True,0.0,1994-05-04,
1994-06-07,1994-06-07 09:30:00+10:00,4.75,True,0.0,1994-06-08,
1994-07-05,1994-07-05 09:30:00+10:00,4.75,True,0.0,1994-07-06,
,1994-07-26 09:30:00+10:00,4.75,False,0.0,1994-07-27,
1994-08-02,1994-08-17 09:30:00+10:00,5.5,False,0.75,1994-08-17,
1994-09-06,1994-09-06 09:30:00+10:00,5.5,True,0.0,1994-09-07,
1994-10-04,1994-10-24 09:30:00+10:00,6.5,False,1.0,1994-10-24,
1994-11-01,1994-11-01 09:30:00+11:00,6.5,True,0.0,1994-11-02,
1994-12-06,1994-12-14 09:30:00+11:00,7.5,True,1.0,1994-12-14,
1995-02-07,1995-02-08 09:30:00+11:00,7.5,True,0.0,1995-02-08,
1995-03-07,1995-03-08 09:30:00+10:00,7.5,True,0.0,1995-03-08,
1995-04-04,1995-04-05 09:30:00+10:00,7.5,True,0.0,1995-04-05,
1995-05-02,1995-05-03 09:30:00+10:00,7.5,True,0.0,1995-05-03,
1995-06-06,1995-06-07 09:30:00+10:00,7.5,True,0.0,1995-06-07,
1995-07-04,1995-07-05 09:30:00+10:00,7.5,True,0.0,1995-07-05,
1995-08-01,1995-07-26 09:30:00+10:00,7.5,True,0.0,1995-07-26,
1995-09-05,1995-09-06 09:30:00+10:00,7.5,True,0.0,1995-09-06,
1995-10-03,1995-10-04 09:30:00+10:00,7.5,True,0.0,1995-10-04,
1995-11-07,1995-11-08 09:30:00+11:00,7.5,True,0.0,1995-11-08,
1995-12-05,1995-12-06 09:30:00+11:00,7.5,True,0.0,1995-12-06,
1996-02-06,1996-02-07 09:30:00+11:00,7.5,True,0.0,1996-02-07,
1996-03-05,1996-03-06 09:30:00+11:00,7.5,True,0.0,1996-03-06,
1996-04-02,1996-04-03 09:30:00+10:00,7.5,True,0.0,1996-04-03,
1996-05-07,1996-05-08 09:30:00+10:00,7.5,True,0.0,1996-05-08,
1996-06-04,1996-06-05 09:30:00+10:00,7.5,True,0.0,1996-06-05,
1996-07-02,1996-07-03 09:30:00+10:00,7.5,True,0.0,1996-07-03,
1996-08-06,1996-07-31 09:30:00+10:00,7.0,True,-0.5,1996-07-31,
1996-09-03,1996-09-04 09:30:00+10:00,7.0,True,0.0,1996-09-04,
1996-10-01,1996-10-02 09:30:00+10:00,7.0,True,0.0,1996-10-02,
1996-11-05,1996-11-06 09:30:00+11:00,6.5,True,-0.5,1996-11-06,
1996-12-03,1996-12-11 09:30:00+11:00,6.0,False,-0.5,1996-12-11,
1997-02-04,1997-02-05 09:30:00+11:00,6.0,True,0.0,1997-02-05,
1997-03-04,1997-03-05 09:30:00+11:00,6.0,True,0.0,1997-03-05,
1997-04-01,1997-04-02 09:30:00+10:00,6.0,True,0.0,1997-04-02,
1997-05-06,1997-05-07 09:30:00+10:00,6.0,True,0.0,1997-05-07,
,1997-05-23 09:30:00+10:00,5.5,False,-0.5,1997-05-23,
1997-06-03,1997-06-04 09:30:00+10:00,5.5,True,0.0,1997-06-04,
1997-07-01,1997-07-02 09:30:00+10:00,5.5,True,0.0,1997-07-02,
,1997-07-30 09:30:00+10:00,5.0,False,-0.5,1997-07-30,
1997-08-05,1997-08-06 09:30:00+10:00,5.0,True,0.0,1997-08-06,
1997-09-02,1997-09-03 09:30:00+10:00,5.0,True,0.0,1997-09-03,
1997-10-07,1997-10-08 09:30:00+10:00,5.0,True,0.0,1997-10-08,
1997-11-04,1997-11-05 09:30:00+11:00,5.0,True,0.0,1997-11-05,
1997-12-02,1997-12-03 09:30:00+11:00,5.0,True,0.0,1997-12-03,
1998-02-03,1998-02-04 09:30:00+11:00,5.0,True,0.0,1998-02-04,
1998-03-03,1998-03-04 09:30:00+11:00,5.0,True,0.0,1998-03-04,
1998-04-07,1998-04-08 09:30:00+10:00,5.0,True,0.0,1998-04-08,
1998-05-05,1998-05-06 09:30:00+10:00,5.0,True,0.0,1998-05-06,
1998-06-02,1998-06-03 09:30:00+10:00,5.0,True,0.0,1998-06-03,
1998-07-07,1998-07-08 09:30:00+10:00,5.0,True,0.0,1998-07-08,
1998-08-04,1998-08-05 09:30:00+10:00,5.0,True,0.0,1998-08-05,
1998-09-01,1998-09-02 09:30:00+10:00,5.0,True,0.0,1998-09-02,
1998-10-06,1998-10-07 09:30:00+10:00,5.0,True,0.0,1998-10-07,
1998-11-03,1998-11-04 09:30:00+11:00,5.0,True,0.0,1998-11-04,
1998-12-01,1998-12-02 09:30:00+11:00,4.75,True,-0.25,1998-12-02,
1999-02-02,1999-02-03 09:30:00+11:00,4.75,True,0.0,1999-02-03,
1999-03-02,1999-03-03 09:30:00+11:00,4.75,True,0.0,1999-03-03,
1999-04-06,1999-04-07 09:30:00+10:00,4.75,True,0.0,1999-04-07,
1999-05-04,1999-05-05 09:30:00+10:00,4.75,True,0.0,1999-05-05,
1999-06-01,1999-06-02 09:30:00+10:00,4.75,True,0.0,1999-06-02,
1999-07-06,1999-07-07 09:30:00+10:00,4.75,True,0.0,1999-07-07,
1999-08-03,1999-08-04 09:30:00+10:00,4.75,True,0.0,1999-08-04,
1999-09-07,1999-09-08 09:30:00+10:00,4.75,True,0.0,1999-09-08,
1999-10-05,1999-10-06 09:30:00+10:00,4.75,True,0.0,1999-10-06,
1999-11-02,1999-11-03 09:30:00+11:00,5.0,True,0.25,1999-11-03,
1999-12-07,1999-12-08 09:30:00+11:00,5.0,True,0.0,1999-12-08,
2000-02-01,2000-02-02 09:30:00+11:00,5.5,True,0.5,2000-02-02,
2000-03-07,2000-03-08 09:30:00+11:00,5.5,True,0.0,2000-03-08,
2000-04-04,2000-04-05 09:30:00+10:00,5.75,True,0.25,2000-04-05,
2000-05-02,2000-05-03 09:30:00+10:00,6.0,True,0.25,2000-05-03,
