date_meeting,rate,is_scheduled,rate_change,date_effective,comments,date_announcement
1999-04-21,4.5,True,,1999-04-21,,1999-04-21 14:00:00+12:00
1999-05-19,4.5,True,0.0,1999-05-19,,1999-05-19 14:00:00+12:00
1999-06-30,4.5,True,0.0,1999-06-30,,1999-06-30 14:00:00+12:00
1999-08-18,4.5,True,0.0,1999-08-18,,1999-08-18 14:00:00+12:00
1999-09-29,4.5,True,0.0,1999-09-29,,1999-09-29 14:00:00+12:00
1999-11-17,5.0,True,0.5,1999-11-17,,1999-11-17 14:00:00+13:00
2000-01-19,5.25,True,0.25,2000-01-19,,2000-01-19 14:00:00+13:00
2000-03-15,5.75,True,0.5,2000-03-15,,2000-03-15 14:00:00+13:00
2000-04-19,6.0,True,0.25,2000-04-19,,2000-04-19 14:00:00+12:00
2000-05-17,6.5,True,0.5,2000-05-17,,2000-05-17 14:00:00+12:00
2000-07-05,6.5,True,0.0,2000-07-05,,2000-07-05 14:00:00+12:00
2000-08-16,6.5,True,0.0,2000-08-16,,2000-08-16 14:00:00+12:00
2000-10-04,6.5,True,0.0,2000-10-04,,2000-10-04 14:00:00+13:00
2000-12-06,6.5,True,0.0,2000-12-06,,2000-12-06 14:00:00+13:00
2001-01-24,6.5,True,0.0,2001-01-24,,2001-01-24 14:00:00+13:00
2001-03-14,6.25,True,-0.25,2001-03-14,,2001-03-14 14:00:00+13:00
2001-04-19,6.0,True,-0.25,2001-04-19,,2001-04-19 14:00:00+12:00
2001-05-16,5.75,True,-0.25,2001-05-16,,2001-05-16 14:00:00+12:00
2001-07-04,5.75,True,0.0,2001-07-04,,2001-07-04 14:00:00+12:00
2001-08-15,5.75,True,0.0,2001-08-15,,2001-08-15 14:00:00+12:00
2001-09-19,5.25,False,-0.5,2001-09-19,terrorist attacks,2001-09-19 14:00:00+12:00
2001-10-03,5.25,True,0.0,2001-10-03,,2001-10-03 14:00:00+12:00
2001-11-14,4.75,True,-0.5,2001-11-14,,2001-11-14 14:00:00+13:00
2002-01-23,4.75,True,0.0,2002-01-23,,2002-01-23 14:00:00+13:00
2002-03-20,5.0,True,0.25,2002-03-20,,2002-03-20 14:00:00+12:00
2002-04-17,5.25,True,0.25,2002-04-17,,2002-04-17 14:00:00+12:00
2002-05-15,5.5,True,0.25,2002-05-15,,2002-05-15 14:00:00+12:00
2002-07-03,5.75,True,0.25,2002-07-03,,2002-07-03 14:00:00+12:00
2002-08-14,5.75,True,0.0,2002-08-14,,2002-08-14 14:00:00+12:00
