date_meeting,rate,rate_change,is_scheduled,lower,upper,date_effective,comments,date_announcement
2000-01-01,1.75,0,False,1.25,2.25,,,2000-01-01 10:00:00+01:00
2000-02-03,2.25,0.5,False,1.75,2.75,2000-02-03,,2000-02-03 10:00:00+01:00
2000-03-23,3,0.75,True,2.5,3.5,2000-03-23,,2000-03-23 10:00:00+01:00
2000-06-15,3.5,0.5,True,3,4,2000-06-15,,2000-06-15 10:00:00+02:00
2000-09-14,3.5,0,True,3,4,,,2000-09-14 10:00:00+02:00
2000-12-08,3.5,0,True,3,4,,,2000-12-08 10:00:00+01:00
2001-03-22,3.25,-0.25,True,2.75,3.75,2001-03-22,,2001-03-22 10:00:00+01:00
2001-06-14,3.25,0,True,2.75,3.75,,,2001-06-14 10:00:00+02:00
2001-09-17,2.75,-0.5,True,2.25,3.25,2001-09-17,,2001-09-17 10:00:00+02:00
2001-09-24,2.25,-0.5,False,1.75,2.75,2001-09-24,obviously due to the attacks,2001-09-24 10:00:00+02:00
2001-12-07,1.75,-0.5,True,1.25,2.25,2001-12-07,,2001-12-07 10:00:00+01:00
2002-03-21,1.75,0,True,1.25,2.25,,,2002-03-21 10:00:00+01:00
2002-05-02,1.25,-0.5,False,0.75,1.75,2002-05-02,,2002-05-02 10:00:00+02:00
2002-06-14,1.25,0,True,0.75,1.75,,,2002-06-14 10:00:00+02:00
2002-07-26,0.75,-0.5,False,0.25,1.25,2002-07-26,,2002-07-26 10:00:00+02:00
2002-09-19,0.75,0,True,0.25,1.25,,,2002-09-19 10:00:00+02:00
2002-12-13,0.75,0,True,0.25,1.25,,,2002-12-13 10:00:00+01:00
2003-03-06,0.375,-0.375,False,0,0.75,2003-03-06,,2003-03-06 10:00:00+01:00
2003-03-20,0.375,0,True,0,0.75,,,2003-03-20 10:00:00+01:00
2003-06-13,0.375,0,True,0,0.75,,,2003-06-13 10:00:00+02:00
2003-09-18,0.375,0,True,0,0.75,,,2003-09-18 10:00:00+02:00
2003-12-12,0.375,0,True,0,0.75,,,2003-12-12 10:00:00+01:00
